Marker Number, Description ,Onset, Size, Channel
Mk4=Stimulus,S  2,212356,1,0
Mk5=Stimulus,S  3,222439,1,0
Mk6=Stimulus,S  3,223472,1,0
Mk7=Stimulus,S  3,224506,1,0
Mk8=Stimulus,S  3,225539,1,0
Mk9=Stimulus,S  3,226572,1,0
Mk10=Stimulus,S  1,228639,1,0
Mk11=Stimulus,S  1,229672,1,0
Mk12=Stimulus,S  1,231739,1,0
Mk13=Stimulus,S  3,232772,1,0
Mk14=Stimulus,S  1,234839,1,0
Mk15=Stimulus,S  3,235872,1,0
Mk16=Stimulus,S  2,255023,1,0
Mk17=Stimulus,S  3,265106,1,0
Mk18=Stimulus,S  3,266139,1,0
Mk19=Stimulus,S  1,267173,1,0
Mk20=Stimulus,S  1,269239,1,0
Mk21=Stimulus,S  1,270273,1,0
Mk22=Stimulus,S  3,271306,1,0
Mk23=Stimulus,S  3,273373,1,0
Mk24=Stimulus,S  3,274406,1,0
Mk25=Stimulus,S  3,275439,1,0
Mk26=Stimulus,S  1,277506,1,0
Mk27=Stimulus,S  1,278539,1,0
Mk28=Stimulus,S  1,279573,1,0
Mk29=Stimulus,S  2,298856,1,0
Mk30=Stimulus,S  1,308939,1,0
Mk31=Stimulus,S  1,309973,1,0
Mk32=Stimulus,S  3,311006,1,0
Mk33=Stimulus,S  3,313073,1,0
Mk34=Stimulus,S  1,314106,1,0
Mk35=Stimulus,S  3,315139,1,0
Mk36=Stimulus,S  3,317206,1,0
Mk37=Stimulus,S  3,318239,1,0
Mk38=Stimulus,S  1,320306,1,0
Mk39=Stimulus,S  1,321339,1,0
Mk40=Stimulus,S  1,322373,1,0
Mk41=Stimulus,S  2,342323,1,0
Mk42=Stimulus,S  1,352406,1,0
Mk43=Stimulus,S  1,353440,1,0
Mk44=Stimulus,S  3,354473,1,0
Mk45=Stimulus,S  3,356540,1,0
Mk46=Stimulus,S  3,357573,1,0
Mk47=Stimulus,S  3,358606,1,0
Mk48=Stimulus,S  3,359640,1,0
Mk49=Stimulus,S  1,361706,1,0
Mk50=Stimulus,S  1,362740,1,0
Mk51=Stimulus,S  1,363773,1,0
Mk52=Stimulus,S  1,364806,1,0
Mk53=Stimulus,S  1,365840,1,0
Mk54=Stimulus,S  1,367906,1,0
Mk55=Stimulus,S  1,368940,1,0
Mk56=Stimulus,S  3,369973,1,0
Mk57=Stimulus,S  1,371006,1,0
